label,prompt,tokens_len,year1,year2
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1934 earlier than 1858? Answer with 'Yes' or 'No'.
A:",46,1934,1858
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1845 earlier than 1915? Answer with 'Yes' or 'No'.
A:",46,1845,1915
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1939 earlier than 1825? Answer with 'Yes' or 'No'.
A:",46,1939,1825
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2010 earlier than 1882? Answer with 'Yes' or 'No'.
A:",46,2010,1882
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1908 earlier than 2005? Answer with 'Yes' or 'No'.
A:",46,1908,2005
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1974 earlier than 1825? Answer with 'Yes' or 'No'.
A:",46,1974,1825
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1882 earlier than 1800? Answer with 'Yes' or 'No'.
A:",46,1882,1800
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2005 earlier than 1856? Answer with 'Yes' or 'No'.
A:",46,2005,1856
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1865 earlier than 1816? Answer with 'Yes' or 'No'.
A:",46,1865,1816
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1904 earlier than 1809? Answer with 'Yes' or 'No'.
A:",46,1904,1809
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1822 earlier than 2009? Answer with 'Yes' or 'No'.
A:",46,1822,2009
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2015 earlier than 1836? Answer with 'Yes' or 'No'.
A:",46,2015,1836
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1800 earlier than 2004? Answer with 'Yes' or 'No'.
A:",46,1800,2004
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1930 earlier than 1956? Answer with 'Yes' or 'No'.
A:",46,1930,1956
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1803 earlier than 1926? Answer with 'Yes' or 'No'.
A:",46,1803,1926
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1846 earlier than 1815? Answer with 'Yes' or 'No'.
A:",46,1846,1815
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1973 earlier than 1858? Answer with 'Yes' or 'No'.
A:",46,1973,1858
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1818 earlier than 1902? Answer with 'Yes' or 'No'.
A:",46,1818,1902
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1883 earlier than 1804? Answer with 'Yes' or 'No'.
A:",46,1883,1804
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1993 earlier than 1859? Answer with 'Yes' or 'No'.
A:",46,1993,1859
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1960 earlier than 1862? Answer with 'Yes' or 'No'.
A:",46,1960,1862
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2011 earlier than 1814? Answer with 'Yes' or 'No'.
A:",46,2011,1814
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1891 earlier than 1835? Answer with 'Yes' or 'No'.
A:",46,1891,1835
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1974 earlier than 1889? Answer with 'Yes' or 'No'.
A:",46,1974,1889
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1887 earlier than 1983? Answer with 'Yes' or 'No'.
A:",46,1887,1983
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1844 earlier than 1943? Answer with 'Yes' or 'No'.
A:",46,1844,1943
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1828 earlier than 1837? Answer with 'Yes' or 'No'.
A:",46,1828,1837
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1945 earlier than 1843? Answer with 'Yes' or 'No'.
A:",46,1945,1843
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1848 earlier than 1882? Answer with 'Yes' or 'No'.
A:",46,1848,1882
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1934 earlier than 2015? Answer with 'Yes' or 'No'.
A:",46,1934,2015
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1830 earlier than 1823? Answer with 'Yes' or 'No'.
A:",46,1830,1823
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1969 earlier than 1973? Answer with 'Yes' or 'No'.
A:",46,1969,1973
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1929 earlier than 1846? Answer with 'Yes' or 'No'.
A:",46,1929,1846
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1889 earlier than 1926? Answer with 'Yes' or 'No'.
A:",46,1889,1926
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1926 earlier than 1967? Answer with 'Yes' or 'No'.
A:",46,1926,1967
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1927 earlier than 2014? Answer with 'Yes' or 'No'.
A:",46,1927,2014
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1833 earlier than 1902? Answer with 'Yes' or 'No'.
A:",46,1833,1902
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1988 earlier than 1880? Answer with 'Yes' or 'No'.
A:",46,1988,1880
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2010 earlier than 1803? Answer with 'Yes' or 'No'.
A:",46,2010,1803
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1823 earlier than 1940? Answer with 'Yes' or 'No'.
A:",46,1823,1940
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1993 earlier than 1845? Answer with 'Yes' or 'No'.
A:",46,1993,1845
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1912 earlier than 1986? Answer with 'Yes' or 'No'.
A:",46,1912,1986
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1962 earlier than 1852? Answer with 'Yes' or 'No'.
A:",46,1962,1852
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1867 earlier than 1809? Answer with 'Yes' or 'No'.
A:",46,1867,1809
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1805 earlier than 1905? Answer with 'Yes' or 'No'.
A:",46,1805,1905
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1884 earlier than 1952? Answer with 'Yes' or 'No'.
A:",46,1884,1952
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1921 earlier than 1954? Answer with 'Yes' or 'No'.
A:",46,1921,1954
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1879 earlier than 1836? Answer with 'Yes' or 'No'.
A:",46,1879,1836
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1936 earlier than 1945? Answer with 'Yes' or 'No'.
A:",46,1936,1945
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1932 earlier than 1938? Answer with 'Yes' or 'No'.
A:",46,1932,1938
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1900 earlier than 1924? Answer with 'Yes' or 'No'.
A:",46,1900,1924
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 2001? Answer with 'Yes' or 'No'.
A:",46,1942,2001
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1924 earlier than 1900? Answer with 'Yes' or 'No'.
A:",46,1924,1900
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1997 earlier than 1849? Answer with 'Yes' or 'No'.
A:",46,1997,1849
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 1964 earlier than 1841? Answer with 'Yes' or 'No'.
A:",46,1964,1841
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2019 earlier than 1853? Answer with 'Yes' or 'No'.
A:",46,2019,1853
